material,bulk_modulus,A_r_s,A_r_val,A_r_s_1,A_r_val_1,A_Z,A_eps_H,A_eps_L,A_EA,A_IP,A_EN,n_A,n_B,B_r_s,B_r_val,B_r_s_1,B_r_val_1,B_Z,B_eps_H,B_eps_L,B_EA,B_IP,B_EN
SrTaO3,1.23018178913,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.46495,0.83725,1.37585,0.81235,73,-3.54071997082888,-3.54071997082888,0.286069997746992,7.763254136017,4.024662066882
SrTcO3,1.27836619365,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.50655,0.68555,1.40795,0.67865,43,-3.95103996744835,-3.95103996744835,-1.20091209010799,7.17916824087351,2.98912807538276
SrTiO3,1.16729240743,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.54605,0.51945,1.46925,0.51995,22,-4.13788996590894,-4.13788996590894,0.416301036565948,7.12072002133592,3.76851052895093
SrVO3,1.25443884012,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.47915,0.47555,1.40435,0.47775,23,-4.42466996354623,-4.42466996354623,-0.105595059134819,7.21880600052479,3.55660547069498
SrWO3,1.3257754682,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.40525,0.79075,1.33475,0.77745,74,-4.46415996322088,-4.46415996322088,-0.408239396770123,8.81585142720564,4.20380601521776
SrZnO3,0.768073690895,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.10495,1.10495,1.05065,1.05065,30,-5.9780399507484,-0.698699994243583,1.59776491684157,9.94132284809543,5.7695438824685
SrZrO3,1.03047189368,1.95395,1.95395,1.81115,1.81115,38,-3.5185299710117,-1.09939999094231,0.962296802074986,5.87708287157186,3.41968983682342,2,4,1.66825,0.84555,1.57665,0.82885,40,-3.45485997153626,-3.45485997153626,0.209905868274849,7.1079966614469,3.65895126486087
YAgO3,1.06366643877,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.31705,1.31705,1.24305,1.24305,47,-4.3784899639267,-4.3784899639267,-1.18205659027474,7.87468273510161,3.34631307241344
YAlO3,1.34149123834,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.10775,1.39955,1.05735,1.24815,13,-2.5456999790266,-2.5456999790266,0.341120609189343,5.7268123878179,3.03396649850362
YBiO3,0.657829840721,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,0.98985,1.30035,0.98175,1.24685,83,-4.52188996274526,-4.52188996274526,-1.3873439885512,7.92763603471,3.2701460230794
YCdO3,0.950541086419,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.23185,1.23185,1.17655,1.17655,48,-5.66952995329014,-0.80207999339186,1.4828730877692,9.3171386232756,5.4000058555224
YCoO3,1.42691800321,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.29155,0.35895,1.19155,0.36135,27,-4.41284996364361,-4.41284996364361,-1.07005130118966,7.65850740690399,3.29422805285716
YCrO3,1.43564034959,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.42455,0.43935,1.34675,0.44105,24,-4.42488996354442,-4.42488996354442,-0.503656315849902,7.30853834978004,3.40244101696507
YCuO3,1.26810723921,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.19885,1.19885,1.12835,1.12835,29,-4.5753399623049,-4.5753399623049,-1.23469135982637,8.33297712134612,3.54914288075987
YFeO3,1.41280205269,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.33295,0.38215,1.23965,0.38635,26,-4.40060996374446,-4.40060996374446,-0.997517531789624,7.47176953842758,3.23712600331898
YGaO3,1.2559639848,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.00335,1.33975,0.97045,1.20865,31,-2.42898997998815,-2.42898997998815,0.450211216292945,5.67270237326794,3.06145679478044
YGeO3,1.0995748309,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,0.92235,1.17105,0.90585,1.09295,32,-3.8244499684913,-3.8244499684913,-0.570452135301915,7.44894692860485,3.43924739665147
YMnO3,1.45455219656,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.36815,0.40825,1.30255,0.40875,25,-4.37895996392283,-4.37895996392283,-0.575037685258773,7.39822451904905,3.41159341689514
YMoO3,1.36297180129,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.53775,0.72745,1.46475,0.72195,42,-4.27918996474481,-4.27918996474481,-1.14474589052513,7.00728034230322,2.93126722588905
YNbO3,1.28061231796,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.57595,0.77355,1.52635,0.77375,41,-4.58042996226296,-4.58042996226296,-0.660734894550011,7.16521534098014,3.25224022321507
YNiO3,1.37724213344,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.25315,0.33775,1.14775,0.33945,28,-4.41903996359262,-4.41903996359262,-1.06489142121737,7.8785395951004,3.40682408694151
YPbO3,0.842671288841,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.03965,1.40285,1.02775,1.32055,82,-3.38806997208652,-3.38806997208652,-0.461033296234442,6.57195824598203,3.05546247487379
YPdO3,1.20729661774,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.40755,0.58065,1.27995,0.57415,46,-4.09639996625077,-3.37188997221983,-0.450016896319226,9.06265342535871,4.30631826451974
YPtO3,1.21178577114,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.26865,0.67055,1.20435,0.66465,78,-5.44059995517624,-5.44059995517624,-2.19568358191321,9.35311962291117,3.57871802049898
YRhO3,1.31071432963,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.44625,0.61295,1.32285,0.60445,45,-3.51704997102389,-3.51704997102389,-0.55007349551869,8.37916973092065,3.91454811770098
YRuO3,1.33727208007,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.47565,0.64735,1.36995,0.63885,44,-3.62910997010066,-3.62910997010066,-0.925803392330116,7.67333103681727,3.37376382224358
YSbO3,0.713015648522,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.00325,1.23855,0.98825,1.18075,51,-4.78668996056364,-4.78668996056364,-1.48174758781515,8.33749663130363,3.42787452174424
YSnO3,0.965862541852,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.06585,1.35395,1.04465,1.27905,50,-3.60333997031297,-3.60333997031297,-0.624456994831229,6.87582904338559,3.12568602427718
YTaO3,1.32862486024,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.46495,0.83725,1.37585,0.81235,73,-3.54071997082888,-3.54071997082888,0.286069997746992,7.763254136017,4.024662066882
YTcO3,1.38183680515,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.50655,0.68555,1.40795,0.67865,43,-3.95103996744835,-3.95103996744835,-1.20091209010799,7.17916824087351,2.98912807538276
YTiO3,1.28267364336,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.54605,0.51945,1.46925,0.51995,22,-4.13788996590894,-4.13788996590894,0.416301036565948,7.12072002133592,3.76851052895093
YVO3,1.39527093448,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.47915,0.47555,1.40435,0.47775,23,-4.42466996354623,-4.42466996354623,-0.105595059134819,7.21880600052479,3.55660547069498
YWO3,1.41874321369,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.40525,0.79075,1.33475,0.77745,74,-4.46415996322088,-4.46415996322088,-0.408239396770123,8.81585142720564,4.20380601521776
YZnO3,1.15302564535,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.10495,1.10495,1.05065,1.05065,30,-5.9780399507484,-0.698699994243583,1.59776491684157,9.94132284809543,5.7695438824685
YZrO3,1.11427929339,1.78595,0.94535,1.63425,0.89365,39,-2.28697998115813,-2.28697998115813,1.03846709143829,6.1934704489804,3.61596877020934,3,3,1.66825,0.84555,1.57665,0.82885,40,-3.45485997153626,-3.45485997153626,0.209905868274849,7.1079966614469,3.65895126486087
